TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS
track_1004119	artist_428380	album_118175	19/1004119.mp3	73.9	mood/theme--dark, film
track_1006548	artist_337741	album_118484	48/1006548.mp3	255.0	mood/theme--soundscape
track_1006556	artist_337741	album_118484	56/1006556.mp3	282.1	mood/theme--soundscape
track_1009354	artist_367979	album_118809	54/1009354.mp3	155.4	mood/theme--adventure, sport
track_1009589	artist_431065	album_118866	89/1009589.mp3	120.8	mood/theme--horror, trailer
track_1011951	artist_002054	album_119180	51/1011951.mp3	266.7	mood/theme--inspiring, soundscape
track_1011999	artist_431465	album_119184	99/1011999.mp3	200.5	mood/theme--emotional, epic, film
track_1012000	artist_431465	album_119184	00/1012000.mp3	147.0	mood/theme--emotional, epic, film
track_1012001	artist_431465	album_119184	01/1012001.mp3	209.6	mood/theme--emotional, epic, film
track_1013829	artist_005721	album_119374	29/1013829.mp3	258.0	mood/theme--dream
track_1016182	artist_004934	album_119662	82/1016182.mp3	294.0	mood/theme--groovy, happy, party
track_1021752	artist_428971	album_120128	52/1021752.mp3	55.0	mood/theme--children, commercial, funny
track_1021756	artist_428971	album_120128	56/1021756.mp3	109.5	mood/theme--adventure, commercial
track_1023279	artist_432273	album_120319	79/1023279.mp3	164.9	mood/theme--documentary
track_1024427	artist_428971	album_120422	27/1024427.mp3	61.1	mood/theme--christmas, commercial
track_1024428	artist_428971	album_120422	28/1024428.mp3	164.9	mood/theme--christmas, commercial
track_1027386	artist_337741	album_120816	86/1027386.mp3	1098.0	mood/theme--soundscape
track_1027693	artist_432967	album_120851	93/1027693.mp3	431.8	mood/theme--relaxing
track_1027907	artist_348448	album_120865	07/1027907.mp3	190.9	mood/theme--positive
track_1027928	artist_005240	album_120873	28/1027928.mp3	366.6	mood/theme--documentary, drama
track_1029909	artist_423996	album_121099	09/1029909.mp3	2642.7	mood/theme--dark
track_1031288	artist_360970	album_121341	88/1031288.mp3	226.5	mood/theme--energetic, happy
track_1032157	artist_421279	album_121460	57/1032157.mp3	172.8	mood/theme--retro
track_1033908	artist_422519	album_121726	08/1033908.mp3	261.4	mood/theme--emotional
track_1033911	artist_422519	album_121726	11/1033911.mp3	118.2	mood/theme--emotional
track_1035764	artist_339169	album_121945	64/1035764.mp3	285.4	mood/theme--love, relaxing
track_1036085	artist_007211	album_121985	85/1036085.mp3	173.2	mood/theme--action, energetic, motivational
track_1036143	artist_004625	album_121997	43/1036143.mp3	123.5	mood/theme--action
track_1036802	artist_434427	album_122056	02/1036802.mp3	261.8	mood/theme--ballad
track_1039835	artist_346032	album_122513	35/1039835.mp3	237.0	mood/theme--soundscape
track_1040482	artist_434110	album_122562	82/1040482.mp3	193.9	mood/theme--fun
track_1040986	artist_366701	album_122620	86/1040986.mp3	212.1	mood/theme--emotional, soft
track_1041556	artist_427960	album_122702	56/1041556.mp3	233.8	mood/theme--melodic
track_1042000	artist_434945	album_122750	00/1042000.mp3	70.0	mood/theme--drama, film
track_1043897	artist_434948	album_122933	97/1043897.mp3	211.2	mood/theme--commercial
track_1044168	artist_371390	album_122953	68/1044168.mp3	430.0	mood/theme--energetic
track_1045251	artist_003944	album_123100	51/1045251.mp3	159.9	mood/theme--groovy, happy
track_1046641	artist_420821	album_123328	41/1046641.mp3	217.4	mood/theme--dream
track_1047123	artist_339574	album_123409	23/1047123.mp3	281.3	mood/theme--energetic, epic
track_1048152	artist_429332	album_123521	52/1048152.mp3	168.9	mood/theme--relaxing
track_1048225	artist_375935	album_123534	25/1048225.mp3	50.1	mood/theme--advertising, children, commercial
track_1048299	artist_435725	album_123543	99/1048299.mp3	87.0	mood/theme--film
track_1048305	artist_008094	album_123550	05/1048305.mp3	288.3	mood/theme--emotional, film
track_1048359	artist_008094	album_123550	59/1048359.mp3	220.3	mood/theme--emotional, film
track_1048765	artist_008094	album_123579	65/1048765.mp3	224.1	mood/theme--emotional, film
track_1049553	artist_008094	album_123610	53/1049553.mp3	229.7	mood/theme--emotional, film
track_1049710	artist_008094	album_123636	10/1049710.mp3	221.4	mood/theme--emotional, film
track_1049713	artist_008094	album_123636	13/1049713.mp3	248.9	mood/theme--emotional, film
track_1049833	artist_360424	album_123763	33/1049833.mp3	216.9	mood/theme--energetic
track_1052151	artist_421686	album_123934	51/1052151.mp3	330.0	mood/theme--uplifting
track_1052157	artist_421686	album_123934	57/1052157.mp3	191.3	mood/theme--uplifting
